,destination,watches
297,airport/CCU,44646
298,airport/HYA,1710
299,airport/ILO,13096
300,airport/HOR,320
301,airport/GUW,116
302,airport/YRL,12
303,airport/RNB,18
304,airport/EDI,128045
305,airport/AAT,1
306,airport/GSO,60433
307,airport/ANU,50716
308,airport/PAH,1226
309,airport/ABQ,126216
310,airport/HBA,9205
311,airport/KDV,76
312,airport/VOZ,52
313,airport/HVB,283
314,airport/BZV,514
315,airport/MSL,74
316,airport/CFU,6941
317,airport/YSJ,5886
318,airport/BIS,12704
319,airport/PPQ,162
320,airport/KJA,452
321,airport/BRQ,433
322,airport/THE,959
323,airport/FOC,11134
324,airport/CGR,2312
325,airport/PGV,4127
326,airport/PLQ,739
327,airport/XIL,3
328,airport/UIO,179437
329,airport/CPR,4791
330,airport/LCG,3884
331,airport/EBL,4474
332,airport/SRG,200
333,airport/FUJ,6
334,airport/BNA,636206
335,airport/ALG,23146
336,airport/HKT,139374
337,airport/BJV,4149
338,airport/GCI,411
339,airport/ADK,3
340,airport/YVR,669702
341,airport/GCM,76014
342,airport/YZT,44
343,airport/SEZ,16064
344,airport/FAE,1296
345,city/CVG,165149
346,airport/CJA,2325
347,airport/TMJ,5
348,airport/NDG,10
349,airport/GTO,5
350,airport/CBR,4272
351,airport/LGP,1642
352,airport/HOT,261
353,airport/OME,293
354,airport/EZS,94
355,airport/IRK,147
356,airport/TET,16
357,airport/OLF,12
358,airport/UBP,129
359,airport/IYK,21
360,airport/MVD,58314
361,airport/GGG,1277
362,airport/RAK,70863
363,airport/NJF,3894
364,airport/ASR,1162
365,airport/CVM,152
366,airport/VRA,3688
367,airport/MAJ,392
368,airport/CGK,76862
369,airport/YTM,797
370,airport/CEC,684
371,airport/INH,54
372,airport/OAK,268825
373,airport/PNQ,15275
374,airport/NUE,10434
375,airport/VDH,73
376,airport/YBP,6
377,airport/YIN,6
378,airport/PIR,26
379,airport/TYN,469
380,airport/EQS,618
381,airport/BEW,75
382,airport/EXT,1075
383,city/WDH,7139
384,airport/KWL,1155
385,airport/CPT,128650
386,airport/MSO,30885
387,airport/UTP,183
388,airport/BCM,507
389,airport/NTG,14
390,airport/LKO,13257
391,airport/MZR,158
392,airport/YQY,8509
393,airport/YYG,17161
394,airport/WEH,211
395,airport/ARK,238
396,airport/IVC,174
397,airport/KLR,51
398,airport/KVA,280
399,airport/YVQ,4
400,airport/TCO,589
401,airport/LOS,69016
402,airport/TKS,120
403,airport/OVD,4427
404,airport/SAF,23799
405,airport/KOK,9
406,city/SAN,1124929
407,airport/NNG,1370
408,airport/TEX,1445
409,airport/MHK,3876
410,airport/YYY,102
411,airport/HKD,865
412,airport/LBD,33
413,airport/VTE,12908
414,airport/RHI,3
415,airport/YXP,3
416,airport/LHE,86524
417,airport/BJM,873
418,airport/RLG,70
419,airport/VCA,42
420,airport/DEA,6
421,airport/ENA,528
422,airport/QBC,24
423,airport/ZAG,61655
424,airport/MRY,17573
425,airport/ETZ,93
426,airport/AOK,322
427,airport/SKN,11
428,airport/YOJ,4
429,airport/JRO,12158
430,airport/SXB,2423
431,airport/PIB,882
432,airport/MWZ,107
433,airport/EVV,6531
434,airport/RSD,185
435,airport/RSW,487552
436,city/TYO,890825
437,airport/LGB,155631
438,airport/JAI,11399
439,airport/SHV,14199
440,airport/BRE,4221
441,airport/BLA,1962
442,airport/VIL,256
443,airport/KCM,37
444,airport/KSD,29
445,airport/TAO,4518
446,airport/BRW,325
447,airport/NYT,182
448,airport/LYB,358
449,airport/PNH,50198
450,airport/IPT,1127
451,airport/TXK,1683
452,airport/ROA,16330
453,airport/HPB,1
454,airport/IBZ,58816
455,airport/OPO,82371
456,airport/ISP,16396
457,airport/OVB,1272
458,airport/OGL,501
459,airport/OKA,44260
460,airport/TNA,1044
461,airport/GST,48
462,airport/MQN,10
463,city/THR,49089
464,airport/PSC,15906
465,airport/EAU,1134
466,airport/LBE,1421
467,airport/MHQ,35
468,airport/BRL,1
469,airport/LEN,91
470,airport/BQS,4
471,airport/MYR,181650
472,city/GPS,20834
473,airport/AAQ,139
474,airport/CAI,165800
475,airport/LEX,29289
476,airport/TNR,10677
477,airport/DPS,351128
478,airport/AJL,194
479,airport/JNG,7
480,airport/ACV,5283
481,airport/TVF,68
482,airport/KIM,124
483,airport/ANE,4
484,airport/TMM,20
485,airport/TMP,308
486,airport/VRN,7538
487,airport/DRW,5465
488,airport/YYE,38
489,airport/NLK,78
490,airport/BNX,88
491,airport/ZSA,162
492,airport/MCX,36
493,airport/TUN,29478
494,airport/ALO,1526
495,airport/INN,4191
496,airport/DND,64
497,airport/CAG,6222
498,airport/IFO,632
499,airport/CZX,27
500,airport/AMQ,17
501,airport/DAC,43488
502,airport/CID,25232
503,airport/ABE,16975
504,airport/KRS,663
505,airport/MKG,1732
506,airport/BOG,535591
507,airport/CKG,3298
508,airport/XMN,4427
509,airport/VNO,13028
510,airport/MKK,2345
511,airport/BHJ,634
512,airport/TBS,26335
513,airport/VVI,27725
514,airport/SVG,4034
515,airport/BHK,18
516,airport/CTC,57
517,airport/COR,17726
518,airport/PNK,25
519,airport/LAP,7115
520,airport/ISU,505
521,airport/HUH,38
522,airport/IKI,24
523,airport/KSN,12
524,city/BKK,966731
525,airport/MSN,50967
526,airport/ALB,76482
527,airport/HMI,1
528,airport/BJX,55378
529,airport/LTO,2846
530,airport/RGL,394
531,airport/HAV,6005
532,city/GOT,15186
533,airport/OMR,108
534,airport/VIX,7935
535,airport/DLI,418
536,airport/ENU,355
537,airport/ZHA,169
538,airport/NTQ,5
539,airport/HAA,1
540,airport/ZAL,1557
541,airport/ABT,116
542,airport/LRE,8
543,airport/MLN,218
544,airport/YYC,331928
545,airport/MCT,25658
546,airport/LCH,2942
547,airport/PLM,50
548,airport/AAR,899
549,airport/DED,1944
550,airport/YQM,19535
551,airport/TTJ,51
552,airport/PNR,234
553,city/PHX,1209483
554,airport/CXR,2367
555,airport/AJU,1398
556,airport/PNI,455
557,airport/BTK,5
558,airport/MOL,89
559,city/CHI,2510342
560,airport/POP,103248
561,city/LCA,39106
562,airport/LAD,2160
563,airport/YXJ,2048
564,airport/TMW,82
565,airport/LUH,25
566,airport/GPA,10
567,airport/BIL,25262
568,airport/APW,5387
569,airport/AAL,1556
570,airport/MPL,4826
571,airport/KRL,2
572,airport/IXM,3783
573,airport/ROP,116
574,airport/CWB,16520
575,airport/EMA,1260
576,airport/COU,4434
577,airport/TBZ,379
578,airport/MQL,119
579,airport/PUW,2914
580,airport/HUY,183
581,airport/RDZ,30
582,airport/LPT,67
583,airport/GDL,288458
584,airport/GOV,3
585,airport/BOS,1381236
586,airport/YQU,5999
587,airport/GAY,262
588,airport/QSF,155
589,airport/MRU,29450
590,airport/CLO,144506
591,airport/EAS,4511
592,airport/EUN,31
593,airport/MSP,522952
594,airport/QRO,25639
595,airport/LDH,160
596,airport/HAU,228
597,airport/GND,39454
598,airport/AGA,5869
599,airport/BJL,3355
600,airport/BZG,239
601,airport/FEG,3
602,airport/DNK,1098
603,airport/MWA,363
604,airport/AJI,4
605,airport/ITO,46708
606,airport/MAR,14301
607,airport/XIY,4383
608,airport/PLN,7
609,airport/JNZ,12
610,airport/MKY,603
611,airport/NCE,71633
612,airport/YMM,7516
613,airport/UEO,13
614,airport/IWD,4
615,airport/MCY,2384
616,airport/CLL,3792
617,airport/DVL,239
618,airport/JRH,14
619,airport/BEY,117109
620,airport/NAS,215821
621,airport/NBO,70606
622,airport/GAM,2
623,airport/SRQ,81425
624,airport/HOM,520
625,airport/YXU,14312
626,airport/MPM,3365
627,airport/LAW,4572
628,airport/SYY,126
629,airport/BGW,7638
630,airport/EWN,7375
631,airport/LBF,162
632,airport/MSS,143
633,airport/PXM,7355
634,airport/TIJ,39321
635,airport/ORN,2506
636,airport/SFG,116
637,airport/RAP,20023
638,airport/JDZ,11
639,airport/KMJ,322
640,airport/ORF,132929
641,airport/XUZ,32
642,airport/KSY,31
643,airport/SPI,4279
644,airport/FAR,17549
645,airport/EVN,15947
646,airport/KME,7
647,airport/SLN,114
648,airport/AJF,44
649,airport/MCP,148
650,airport/PNZ,379
651,airport/BRS,8367
652,airport/TBN,1464
653,airport/PNS,100229
654,airport/PBG,4113
655,airport/ROK,386
656,airport/TUG,663
657,airport/PQC,1840
658,airport/RJK,730
659,airport/SIT,1857
660,airport/AKN,114
661,airport/SJC,272259
662,airport/PLS,113348
663,airport/DCM,11
664,airport/IGA,2
665,airport/VFA,1811
666,airport/DRT,23
667,airport/BRO,13006
668,airport/OST,14
669,airport/PBO,8
670,airport/SUX,3373
671,airport/FDE,11
672,airport/PIH,1
673,airport/ZAZ,93
674,airport/AUH,46724
675,airport/MQT,2772
676,airport/TRS,2490
677,airport/MST,21
678,airport/ZQN,22253
679,airport/AZO,7334
680,airport/YBC,77
681,airport/ATQ,20572
682,airport/ORH,3348
683,airport/CFE,344
684,airport/KAN,202
685,airport/CYS,587
686,airport/PZO,143
687,airport/MNL,1507135
688,airport/RAJ,1468
689,airport/ADD,25784
690,airport/YXH,415
691,airport/NOS,111
692,airport/LYI,5
693,airport/GDE,1
694,airport/BOJ,3046
695,airport/IXC,6794
696,airport/BEN,5
697,airport/BQN,184729
698,airport/MAF,14554
699,airport/AGX,161
700,airport/CXJ,297
701,airport/SLA,5666
702,airport/LLI,36
703,airport/CCP,3281
704,airport/JDO,263
705,airport/EVE,370
706,airport/SON,52
707,airport/PKB,101
708,airport/BRD,5
709,airport/PTP,17664
710,airport/PDT,137
711,airport/WRE,44
712,airport/BLJ,20
713,airport/XRY,4578
714,airport/LGK,4133
715,airport/PSR,453
716,airport/BWN,1470
717,airport/YAP,51
718,airport/VDZ,143
719,airport/BJF,1
720,airport/RNO,145827
721,airport/AXA,2757
722,airport/ECP,43167
723,airport/ULN,9436
724,airport/FIH,3257
725,airport/VVC,472
726,airport/PUB,313
727,airport/TEN,3
728,airport/MOQ,2
729,airport/OCC,158
730,airport/BPN,580
731,airport/GEO,20069
732,airport/CUU,11841
733,airport/CHQ,6651
734,airport/LAR,756
735,airport/PJM,49
736,airport/GTR,10
737,airport/BLQ,28787
738,airport/SCQ,7674
739,airport/IUE,22
740,airport/MTT,993
741,airport/POL,243
742,airport/BHV,16
743,airport/NDR,1164
744,airport/CMW,134
745,airport/NGO,24925
746,airport/BHM,76361
747,airport/SVD,9184
748,airport/MGF,1270
749,airport/BHI,727
750,airport/OWB,656
751,airport/ENH,1
752,airport/LIS,379410
753,airport/RDU,340424
754,airport/MFR,27497
755,airport/GHB,583
756,airport/ZEL,17
757,airport/NCU,2
758,airport/RCH,130
759,airport/ODS,6951
760,airport/AGH,52
761,airport/LIG,288
762,airport/TLS,20829
763,airport/VQS,3307
764,airport/CHC,31941
765,airport/HTS,2999
766,airport/LCJ,254
767,airport/TGG,305
768,airport/HAN,86396
769,airport/KZN,1285
770,airport/DLG,63
771,airport/OSY,2
772,airport/YYR,326
773,airport/TRC,7424
774,airport/ZCO,4324
775,airport/ZRH,178559
776,airport/MFE,22629
777,airport/TIV,2998
778,airport/YXL,42
779,airport/ZOS,336
780,airport/RAE,34
781,airport/SVL,1
782,airport/SYM,3
783,airport/TGD,9258
784,airport/PAT,5649
785,airport/SBH,1471
786,airport/MBA,5102
787,airport/YHD,53
788,airport/FAO,36178
789,airport/SFT,47
790,airport/LYH,6280
791,airport/MAM,286
792,airport/JMU,18
793,airport/HUN,38
794,airport/BZN,62231
795,airport/AXU,8
796,airport/SNA,329522
797,airport/GDQ,29
798,airport/DHM,294
799,airport/CGB,2000
800,airport/CTL,1
801,airport/PNA,2502
802,airport/BHH,44
803,airport/RKD,489
804,airport/SFA,13
805,airport/TCZ,5
806,airport/MQF,18
807,airport/ATL,1286223
808,airport/PBC,11074
809,airport/YZV,526
810,airport/AFA,397
811,airport/ASW,293
812,airport/HSG,87
813,airport/MSU,63
814,airport/TIH,27
815,airport/AGU,19173
816,airport/UPG,182
817,airport/SPN,4305
818,airport/TBT,47
819,airport/YZF,8012
820,airport/MKM,1
821,airport/BHX,30540
822,airport/LXA,1251
823,airport/KGC,14
824,airport/KAJ,18
825,airport/OKC,92960
826,airport/VIJ,1617
827,airport/DLA,9596
828,airport/MCG,3
829,airport/MMU,1
830,airport/CCS,109405
831,airport/CLJ,8836
832,airport/MOC,161
833,airport/EBB,19087
834,airport/AKL,242744
835,airport/YQQ,7983
836,airport/CYB,791
837,airport/BGA,17600
838,airport/CMB,87406
839,airport/MDT,26689
840,airport/SHJ,4323
841,airport/VOG,371
842,airport/SLM,6
843,airport/KTN,2871
844,airport/GPT,24006
845,airport/MGM,11339
846,airport/GKA,16
847,airport/FLN,24722
848,airport/BIO,22997
849,airport/HRO,87
850,airport/HEL,55498
851,airport/PZU,24
852,airport/LTX,9
853,airport/VGA,4837
854,airport/FAY,25989
855,airport/LLW,1989
856,airport/SRE,441
857,airport/PWQ,17
858,airport/CDR,85
859,airport/HSN,7
860,airport/HRG,4984
861,airport/IQT,6284
862,airport/JTY,4
863,airport/FTE,6557
864,airport/TRN,11629
865,airport/REU,715
866,airport/AQP,11404
867,airport/TRZ,3535
868,airport/EDO,108
869,airport/TTE,2
870,airport/MHH,6829
871,airport/TSE,2599
872,airport/LBV,785
873,airport/JHW,36
874,airport/YUS,10
875,airport/SXR,3775
876,airport/YCG,1281
877,airport/YZZ,96
878,airport/YXT,1889
879,city/BFS,22127
880,airport/MTJ,9893
881,airport/FRW,27
882,airport/IDR,3264
883,airport/RBR,173
884,airport/YXE,26486
885,airport/ZLO,9852
886,airport/RFP,82
887,airport/FLR,104019
888,airport/IXB,2963
889,airport/SZF,235
890,airport/SBA,29759
891,airport/KCZ,254
892,airport/AOR,187
893,airport/KEJ,59
894,airport/HLN,6351
895,airport/MYY,306
896,airport/PHW,34
897,airport/ISN,2329
898,airport/TAE,1112
899,airport/GZT,710
900,airport/LGI,122
901,airport/XFN,12
902,airport/BBK,108
903,airport/VAW,1
904,airport/ASM,2391
905,airport/PMC,7590
906,airport/ROR,2826
907,airport/PEW,6077
908,airport/MIG,62
909,airport/KOA,228008
910,airport/EMD,52
911,airport/BAX,178
912,airport/GRI,1636
913,airport/LVI,1129
914,airport/ASU,22090
915,airport/AAE,230
916,airport/STM,464
917,airport/TOL,6830
918,airport/KSM,5
919,airport/MLB,35890
920,airport/JJN,423
921,airport/KVX,2
922,airport/CGY,6058
923,airport/ROC,80448
924,airport/YLW,54291
925,airport/COS,96562
926,airport/DPO,86
